case_id,filename,filepath,family,fault_type,scr,noise_std,fs_Hz,f0_Hz,t_start_s,t_end_s,t_event_s,base_mag_pu,tau_decay_s,f_transient_Hz,K_base,tau1_s,tau2_s,f1_Hz,gate_time_s,K1,K2,tau_rise_s,tau_fall_s,f_ctrl_Hz,K
11,case_00011_induction_machine_like_3ph_scr2.0_n0.005_r5.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00011_induction_machine_like_3ph_scr2.0_n0.005_r5.csv,induction_machine_like,3ph,2.0,0.005,10000,50.0,5.98,6.04,5.999120260518355,1.0204748275721844,0.01,866.6666666666666,0.33,,,,,,,,,,
12,case_00012_induction_machine_like_3ph_scr2.0_n0.005_r6.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00012_induction_machine_like_3ph_scr2.0_n0.005_r6.csv,induction_machine_like,3ph,2.0,0.005,10000,50.0,5.98,6.04,5.998308762852086,1.0115107689834217,0.01,866.6666666666666,0.33,,,,,,,,,,
13,case_00013_induction_machine_like_3ph_scr2.0_n0.010_r1.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00013_induction_machine_like_3ph_scr2.0_n0.010_r1.csv,induction_machine_like,3ph,2.0,0.01,10000,50.0,5.98,6.04,5.999700134188915,1.0626842141997568,0.01,866.6666666666666,0.33,,,,,,,,,,
14,case_00014_induction_machine_like_3ph_scr2.0_n0.010_r2.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00014_induction_machine_like_3ph_scr2.0_n0.010_r2.csv,induction_machine_like,3ph,2.0,0.01,10000,50.0,5.98,6.04,5.998054255806665,1.0449620715020096,0.01,866.6666666666666,0.33,,,,,,,,,,
15,case_00015_induction_machine_like_3ph_scr2.0_n0.010_r3.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00015_induction_machine_like_3ph_scr2.0_n0.010_r3.csv,induction_machine_like,3ph,2.0,0.01,10000,50.0,5.98,6.04,5.998904472133213,1.0327416983924222,0.01,866.6666666666666,0.33,,,,,,,,,,
16,case_00016_induction_machine_like_3ph_scr2.0_n0.010_r4.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00016_induction_machine_like_3ph_scr2.0_n0.010_r4.csv,induction_machine_like,3ph,2.0,0.01,10000,50.0,5.98,6.04,5.9988824304245165,1.0683939888307996,0.01,866.6666666666666,0.33,,,,,,,,,,
17,case_00017_induction_machine_like_3ph_scr2.0_n0.010_r5.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00017_induction_machine_like_3ph_scr2.0_n0.010_r5.csv,induction_machine_like,3ph,2.0,0.01,10000,50.0,5.98,6.04,5.999090482253584,1.0056768266860607,0.01,866.6666666666666,0.33,,,,,,,,,,
18,case_00018_induction_machine_like_3ph_scr2.0_n0.010_r6.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00018_induction_machine_like_3ph_scr2.0_n0.010_r6.csv,induction_machine_like,3ph,2.0,0.01,10000,50.0,5.98,6.04,6.000021884490196,1.0077064494980328,0.01,866.6666666666666,0.33,,,,,,,,,,
19,case_00019_induction_machine_like_3ph_scr3.0_n0.002_r1.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00019_induction_machine_like_3ph_scr3.0_n0.002_r1.csv,induction_machine_like,3ph,3.0,0.002,10000,50.0,5.98,6.04,5.998208913930552,1.0512950147974993,0.008,950.0,0.28,,,,,,,,,,
20,case_00020_induction_machine_like_3ph_scr3.0_n0.002_r2.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00020_induction_machine_like_3ph_scr3.0_n0.002_r2.csv,induction_machine_like,3ph,3.0,0.002,10000,50.0,5.98,6.04,5.997924911017445,1.0552778531733669,0.008,950.0,0.28,,,,,,,,,,
21,case_00021_induction_machine_like_3ph_scr3.0_n0.002_r3.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00021_induction_machine_like_3ph_scr3.0_n0.002_r3.csv,induction_machine_like,3ph,3.0,0.002,10000,50.0,5.98,6.04,5.997774412097951,1.0133433975783506,0.008,950.0,0.28,,,,,,,,,,
22,case_00022_induction_machine_like_3ph_scr3.0_n0.002_r4.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00022_induction_machine_like_3ph_scr3.0_n0.002_r4.csv,induction_machine_like,3ph,3.0,0.002,10000,50.0,5.98,6.04,5.998655483001981,1.0431454867921783,0.008,950.0,0.28,,,,,,,,,,
23,case_00023_induction_machine_like_3ph_scr3.0_n0.002_r5.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00023_induction_machine_like_3ph_scr3.0_n0.002_r5.csv,induction_machine_like,3ph,3.0,0.002,10000,50.0,5.98,6.04,5.998871051809814,1.0016415835528494,0.008,950.0,0.28,,,,,,,,,,
24,case_00024_induction_machine_like_3ph_scr3.0_n0.002_r6.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00024_induction_machine_like_3ph_scr3.0_n0.002_r6.csv,induction_machine_like,3ph,3.0,0.002,10000,50.0,5.98,6.04,5.998437179311715,1.00229386329594,0.008,950.0,0.28,,,,,,,,,,
25,case_00025_induction_machine_like_3ph_scr3.0_n0.005_r1.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00025_induction_machine_like_3ph_scr3.0_n0.005_r1.csv,induction_machine_like,3ph,3.0,0.005,10000,50.0,5.98,6.04,6.00022993258505,1.0088185424427658,0.008,950.0,0.28,,,,,,,,,,
26,case_00026_induction_machine_like_3ph_scr3.0_n0.005_r2.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00026_induction_machine_like_3ph_scr3.0_n0.005_r2.csv,induction_machine_like,3ph,3.0,0.005,10000,50.0,5.98,6.04,6.000406013301035,1.046031830153858,0.008,950.0,0.28,,,,,,,,,,
27,case_00027_induction_machine_like_3ph_scr3.0_n0.005_r3.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00027_induction_machine_like_3ph_scr3.0_n0.005_r3.csv,induction_machine_like,3ph,3.0,0.005,10000,50.0,5.98,6.04,5.997580362234945,1.0498268753060866,0.008,950.0,0.28,,,,,,,,,,
28,case_00028_induction_machine_like_3ph_scr3.0_n0.005_r4.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00028_induction_machine_like_3ph_scr3.0_n0.005_r4.csv,induction_machine_like,3ph,3.0,0.005,10000,50.0,5.98,6.04,5.998656159901258,1.0300651993969787,0.008,950.0,0.28,,,,,,,,,,
29,case_00029_induction_machine_like_3ph_scr3.0_n0.005_r5.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00029_induction_machine_like_3ph_scr3.0_n0.005_r5.csv,induction_machine_like,3ph,3.0,0.005,10000,50.0,5.98,6.04,5.9989251983479495,1.0628951419154544,0.008,950.0,0.28,,,,,,,,,,
30,case_00030_induction_machine_like_3ph_scr3.0_n0.005_r6.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00030_induction_machine_like_3ph_scr3.0_n0.005_r6.csv,induction_machine_like,3ph,3.0,0.005,10000,50.0,5.98,6.04,5.998032247327522,1.0202336474780405,0.008,950.0,0.28,,,,,,,,,,
31,case_00031_induction_machine_like_3ph_scr3.0_n0.010_r1.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00031_induction_machine_like_3ph_scr3.0_n0.010_r1.csv,induction_machine_like,3ph,3.0,0.01,10000,50.0,5.98,6.04,5.999686590921048,1.0256985903988105,0.008,950.0,0.28,,,,,,,,,,
32,case_00032_induction_machine_like_3ph_scr3.0_n0.010_r2.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00032_induction_machine_like_3ph_scr3.0_n0.010_r2.csv,induction_machine_like,3ph,3.0,0.01,10000,50.0,5.98,6.04,5.998262456225327,1.070010072140616,0.008,950.0,0.28,,,,,,,,,,
33,case_00033_induction_machine_like_3ph_scr3.0_n0.010_r3.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00033_induction_machine_like_3ph_scr3.0_n0.010_r3.csv,induction_machine_like,3ph,3.0,0.01,10000,50.0,5.98,6.04,5.99999069317454,1.072096811055271,0.008,950.0,0.28,,,,,,,,,,
34,case_00034_induction_machine_like_3ph_scr3.0_n0.010_r4.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00034_induction_machine_like_3ph_scr3.0_n0.010_r4.csv,induction_machine_like,3ph,3.0,0.01,10000,50.0,5.98,6.04,5.999584288581856,1.0771124712906,0.008,950.0,0.28,,,,,,,,,,
35,case_00035_induction_machine_like_3ph_scr3.0_n0.010_r5.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00035_induction_machine_like_3ph_scr3.0_n0.010_r5.csv,induction_machine_like,3ph,3.0,0.01,10000,50.0,5.98,6.04,5.9979561514606585,1.0614839374024188,0.008,950.0,0.28,,,,,,,,,,
36,case_00036_induction_machine_like_3ph_scr3.0_n0.010_r6.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00036_induction_machine_like_3ph_scr3.0_n0.010_r6.csv,induction_machine_like,3ph,3.0,0.01,10000,50.0,5.98,6.04,5.99806436501923,1.0003963821458184,0.008,950.0,0.28,,,,,,,,,,
37,case_00037_induction_machine_like_3ph_scr5.0_n0.002_r1.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00037_induction_machine_like_3ph_scr5.0_n0.002_r1.csv,induction_machine_like,3ph,5.0,0.002,10000,50.0,5.98,6.04,5.999202061960427,1.0594036409051981,0.0063999999999999994,1116.6666666666667,0.24,,,,,,,,,,
38,case_00038_induction_machine_like_3ph_scr5.0_n0.002_r2.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00038_induction_machine_like_3ph_scr5.0_n0.002_r2.csv,induction_machine_like,3ph,5.0,0.002,10000,50.0,5.98,6.04,5.999806650002853,1.0710942805731627,0.0063999999999999994,1116.6666666666667,0.24,,,,,,,,,,
39,case_00039_induction_machine_like_3ph_scr5.0_n0.002_r3.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00039_induction_machine_like_3ph_scr5.0_n0.002_r3.csv,induction_machine_like,3ph,5.0,0.002,10000,50.0,5.98,6.04,5.99894188290093,1.0399682225905655,0.0063999999999999994,1116.6666666666667,0.24,,,,,,,,,,
40,case_00040_induction_machine_like_3ph_scr5.0_n0.002_r4.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00040_induction_machine_like_3ph_scr5.0_n0.002_r4.csv,induction_machine_like,3ph,5.0,0.002,10000,50.0,5.98,6.04,5.999218059027384,1.0648449474561261,0.0063999999999999994,1116.6666666666667,0.24,,,,,,,,,,
41,case_00041_induction_machine_like_3ph_scr5.0_n0.002_r5.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00041_induction_machine_like_3ph_scr5.0_n0.002_r5.csv,induction_machine_like,3ph,5.0,0.002,10000,50.0,5.98,6.04,5.998054632077456,1.001905220456287,0.0063999999999999994,1116.6666666666667,0.24,,,,,,,,,,
42,case_00042_induction_machine_like_3ph_scr5.0_n0.002_r6.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00042_induction_machine_like_3ph_scr5.0_n0.002_r6.csv,induction_machine_like,3ph,5.0,0.002,10000,50.0,5.98,6.04,6.000281872298172,1.0386340090748558,0.0063999999999999994,1116.6666666666667,0.24,,,,,,,,,,
43,case_00043_induction_machine_like_3ph_scr5.0_n0.005_r1.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00043_induction_machine_like_3ph_scr5.0_n0.005_r1.csv,induction_machine_like,3ph,5.0,0.005,10000,50.0,5.98,6.04,5.997544598251581,1.0523499334009456,0.0063999999999999994,1116.6666666666667,0.24,,,,,,,,,,
44,case_00044_induction_machine_like_3ph_scr5.0_n0.005_r2.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00044_induction_machine_like_3ph_scr5.0_n0.005_r2.csv,induction_machine_like,3ph,5.0,0.005,10000,50.0,5.98,6.04,5.998384007597884,1.0329262864567752,0.0063999999999999994,1116.6666666666667,0.24,,,,,,,,,,
45,case_00045_induction_machine_like_3ph_scr5.0_n0.005_r3.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00045_induction_machine_like_3ph_scr5.0_n0.005_r3.csv,induction_machine_like,3ph,5.0,0.005,10000,50.0,5.98,6.04,5.9977508349341795,1.0071671481745426,0.0063999999999999994,1116.6666666666667,0.24,,,,,,,,,,
46,case_00046_induction_machine_like_3ph_scr5.0_n0.005_r4.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00046_induction_machine_like_3ph_scr5.0_n0.005_r4.csv,induction_machine_like,3ph,5.0,0.005,10000,50.0,5.98,6.04,5.998317071677406,1.0332365261251448,0.0063999999999999994,1116.6666666666667,0.24,,,,,,,,,,
47,case_00047_induction_machine_like_3ph_scr5.0_n0.005_r5.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00047_induction_machine_like_3ph_scr5.0_n0.005_r5.csv,induction_machine_like,3ph,5.0,0.005,10000,50.0,5.98,6.04,5.999557458087976,1.0552580958971483,0.0063999999999999994,1116.6666666666667,0.24,,,,,,,,,,
48,case_00048_induction_machine_like_3ph_scr5.0_n0.005_r6.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00048_induction_machine_like_3ph_scr5.0_n0.005_r6.csv,induction_machine_like,3ph,5.0,0.005,10000,50.0,5.98,6.04,5.999885223461498,1.0347754468776562,0.0063999999999999994,1116.6666666666667,0.24,,,,,,,,,,
49,case_00049_induction_machine_like_3ph_scr5.0_n0.010_r1.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00049_induction_machine_like_3ph_scr5.0_n0.010_r1.csv,induction_machine_like,3ph,5.0,0.01,10000,50.0,5.98,6.04,6.000247193966334,1.0206191869727792,0.0063999999999999994,1116.6666666666667,0.24,,,,,,,,,,
50,case_00050_induction_machine_like_3ph_scr5.0_n0.010_r2.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00050_induction_machine_like_3ph_scr5.0_n0.010_r2.csv,induction_machine_like,3ph,5.0,0.01,10000,50.0,5.98,6.04,5.997587818937338,1.0041696608349902,0.0063999999999999994,1116.6666666666667,0.24,,,,,,,,,,
51,case_00051_induction_machine_like_3ph_scr5.0_n0.010_r3.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00051_induction_machine_like_3ph_scr5.0_n0.010_r3.csv,induction_machine_like,3ph,5.0,0.01,10000,50.0,5.98,6.04,5.999433363743285,1.0158522255242368,0.0063999999999999994,1116.6666666666667,0.24,,,,,,,,,,
52,case_00052_induction_machine_like_3ph_scr5.0_n0.010_r4.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00052_induction_machine_like_3ph_scr5.0_n0.010_r4.csv,induction_machine_like,3ph,5.0,0.01,10000,50.0,5.98,6.04,5.999315872184586,1.0608761722987854,0.0063999999999999994,1116.6666666666667,0.24,,,,,,,,,,
53,case_00053_induction_machine_like_3ph_scr5.0_n0.010_r5.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00053_induction_machine_like_3ph_scr5.0_n0.010_r5.csv,induction_machine_like,3ph,5.0,0.01,10000,50.0,5.98,6.04,5.9980114397763105,1.0074720132900044,0.0063999999999999994,1116.6666666666667,0.24,,,,,,,,,,
54,case_00054_induction_machine_like_3ph_scr5.0_n0.010_r6.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00054_induction_machine_like_3ph_scr5.0_n0.010_r6.csv,induction_machine_like,3ph,5.0,0.01,10000,50.0,5.98,6.04,5.998609619145069,1.0477886432864747,0.0063999999999999994,1116.6666666666667,0.24,,,,,,,,,,
55,case_00055_induction_machine_like_3ph_scr8.0_n0.002_r1.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00055_induction_machine_like_3ph_scr8.0_n0.002_r1.csv,induction_machine_like,3ph,8.0,0.002,10000,50.0,5.98,6.04,5.997797013292817,1.0084033739883,0.0055,1366.6666666666665,0.2175,,,,,,,,,,
56,case_00056_induction_machine_like_3ph_scr8.0_n0.002_r2.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00056_induction_machine_like_3ph_scr8.0_n0.002_r2.csv,induction_machine_like,3ph,8.0,0.002,10000,50.0,5.98,6.04,5.9978812886379025,1.0640471612887792,0.0055,1366.6666666666665,0.2175,,,,,,,,,,
57,case_00057_induction_machine_like_3ph_scr8.0_n0.002_r3.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00057_induction_machine_like_3ph_scr8.0_n0.002_r3.csv,induction_machine_like,3ph,8.0,0.002,10000,50.0,5.98,6.04,5.9981485901804055,1.0491461653403542,0.0055,1366.6666666666665,0.2175,,,,,,,,,,
58,case_00058_induction_machine_like_3ph_scr8.0_n0.002_r4.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00058_induction_machine_like_3ph_scr8.0_n0.002_r4.csv,induction_machine_like,3ph,8.0,0.002,10000,50.0,5.98,6.04,5.9996321707482005,1.062803406045965,0.0055,1366.6666666666665,0.2175,,,,,,,,,,
59,case_00059_induction_machine_like_3ph_scr8.0_n0.002_r5.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00059_induction_machine_like_3ph_scr8.0_n0.002_r5.csv,induction_machine_like,3ph,8.0,0.002,10000,50.0,5.98,6.04,5.999460072494219,1.0600702380129525,0.0055,1366.6666666666665,0.2175,,,,,,,,,,
60,case_00060_induction_machine_like_3ph_scr8.0_n0.002_r6.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00060_induction_machine_like_3ph_scr8.0_n0.002_r6.csv,induction_machine_like,3ph,8.0,0.002,10000,50.0,5.98,6.04,5.997929549284145,1.0117492599703286,0.0055,1366.6666666666665,0.2175,,,,,,,,,,
61,case_00061_induction_machine_like_3ph_scr8.0_n0.005_r1.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00061_induction_machine_like_3ph_scr8.0_n0.005_r1.csv,induction_machine_like,3ph,8.0,0.005,10000,50.0,5.98,6.04,5.999106577479319,1.0260488515075548,0.0055,1366.6666666666665,0.2175,,,,,,,,,,
62,case_00062_induction_machine_like_3ph_scr8.0_n0.005_r2.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00062_induction_machine_like_3ph_scr8.0_n0.005_r2.csv,induction_machine_like,3ph,8.0,0.005,10000,50.0,5.98,6.04,5.999933407809011,1.0777293237319794,0.0055,1366.6666666666665,0.2175,,,,,,,,,,
63,case_00063_induction_machine_like_3ph_scr8.0_n0.005_r3.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00063_induction_machine_like_3ph_scr8.0_n0.005_r3.csv,induction_machine_like,3ph,8.0,0.005,10000,50.0,5.98,6.04,6.000320256102922,1.0238728997874975,0.0055,1366.6666666666665,0.2175,,,,,,,,,,
64,case_00064_induction_machine_like_3ph_scr8.0_n0.005_r4.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00064_induction_machine_like_3ph_scr8.0_n0.005_r4.csv,induction_machine_like,3ph,8.0,0.005,10000,50.0,5.98,6.04,5.9991497068298845,1.065445139095135,0.0055,1366.6666666666665,0.2175,,,,,,,,,,
65,case_00065_induction_machine_like_3ph_scr8.0_n0.005_r5.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00065_induction_machine_like_3ph_scr8.0_n0.005_r5.csv,induction_machine_like,3ph,8.0,0.005,10000,50.0,5.98,6.04,6.000073894898748,1.0520188225025116,0.0055,1366.6666666666665,0.2175,,,,,,,,,,
66,case_00066_induction_machine_like_3ph_scr8.0_n0.005_r6.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00066_induction_machine_like_3ph_scr8.0_n0.005_r6.csv,induction_machine_like,3ph,8.0,0.005,10000,50.0,5.98,6.04,5.9986802211859604,1.0388951612726498,0.0055,1366.6666666666665,0.2175,,,,,,,,,,
67,case_00067_induction_machine_like_3ph_scr8.0_n0.010_r1.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00067_induction_machine_like_3ph_scr8.0_n0.010_r1.csv,induction_machine_like,3ph,8.0,0.01,10000,50.0,5.98,6.04,5.9994857994036295,1.0380144908705005,0.0055,1366.6666666666665,0.2175,,,,,,,,,,
68,case_00068_induction_machine_like_3ph_scr8.0_n0.010_r2.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00068_induction_machine_like_3ph_scr8.0_n0.010_r2.csv,induction_machine_like,3ph,8.0,0.01,10000,50.0,5.98,6.04,6.000017771203786,1.0124348274847728,0.0055,1366.6666666666665,0.2175,,,,,,,,,,
69,case_00069_induction_machine_like_3ph_scr8.0_n0.010_r3.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00069_induction_machine_like_3ph_scr8.0_n0.010_r3.csv,induction_machine_like,3ph,8.0,0.01,10000,50.0,5.98,6.04,5.998850613399072,1.0483553792304752,0.0055,1366.6666666666665,0.2175,,,,,,,,,,
70,case_00070_induction_machine_like_3ph_scr8.0_n0.010_r4.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00070_induction_machine_like_3ph_scr8.0_n0.010_r4.csv,induction_machine_like,3ph,8.0,0.01,10000,50.0,5.98,6.04,6.000242992477366,1.065806381019995,0.0055,1366.6666666666665,0.2175,,,,,,,,,,
71,case_00071_induction_machine_like_3ph_scr8.0_n0.010_r5.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00071_induction_machine_like_3ph_scr8.0_n0.010_r5.csv,induction_machine_like,3ph,8.0,0.01,10000,50.0,5.98,6.04,5.997743733178015,1.0203354497516814,0.0055,1366.6666666666665,0.2175,,,,,,,,,,
72,case_00072_induction_machine_like_3ph_scr8.0_n0.010_r6.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00072_induction_machine_like_3ph_scr8.0_n0.010_r6.csv,induction_machine_like,3ph,8.0,0.01,10000,50.0,5.98,6.04,5.997666987042682,1.0046749800910222,0.0055,1366.6666666666665,0.2175,,,,,,,,,,
73,case_00073_induction_machine_like_slg_a_scr2.0_n0.002_r1.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00073_induction_machine_like_slg_a_scr2.0_n0.002_r1.csv,induction_machine_like,slg_a,2.0,0.002,10000,50.0,5.98,6.04,5.997553670706023,1.078528566167356,0.01,866.6666666666666,0.33,,,,,,,,,,
74,case_00074_induction_machine_like_slg_a_scr2.0_n0.002_r2.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00074_induction_machine_like_slg_a_scr2.0_n0.002_r2.csv,induction_machine_like,slg_a,2.0,0.002,10000,50.0,5.98,6.04,5.997626215131514,1.0483282443129425,0.01,866.6666666666666,0.33,,,,,,,,,,
75,case_00075_induction_machine_like_slg_a_scr2.0_n0.002_r3.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00075_induction_machine_like_slg_a_scr2.0_n0.002_r3.csv,induction_machine_like,slg_a,2.0,0.002,10000,50.0,5.98,6.04,5.998410278919095,1.0156999217208136,0.01,866.6666666666666,0.33,,,,,,,,,,
76,case_00076_induction_machine_like_slg_a_scr2.0_n0.002_r4.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00076_induction_machine_like_slg_a_scr2.0_n0.002_r4.csv,induction_machine_like,slg_a,2.0,0.002,10000,50.0,5.98,6.04,5.9982796790458766,1.0785866507292134,0.01,866.6666666666666,0.33,,,,,,,,,,
